Cell_Lat,Cell_Lon,Mes,media_focos_mes_hist
-19.1,-51.4,9,0.0909090909090909
-19.1,-51.4,10,0.0909090909090909
-19.1,-51.4,11,0.0909090909090909
-19.1,-51.4,12,0.1818181818181818
-19.1,-51.3,1,0.5454545454545454
-19.1,-51.3,2,0.7272727272727273
-19.1,-51.3,5,0.0909090909090909
-19.1,-51.3,6,0.0909090909090909
-19.1,-51.3,9,0.3636363636363636
-19.1,-51.3,10,0.3636363636363636
-19.1,-51.3,11,0.4545454545454545
-19.1,-51.3,12,0.7272727272727273
-19.1,-51.2,1,0.9090909090909092
-19.1,-51.2,2,0.0909090909090909
-19.1,-51.2,6,0.1818181818181818
-19.1,-51.2,9,0.4545454545454545
-19.1,-51.2,11,0.0909090909090909
-19.1,-51.2,12,0.3636363636363636
-19.1,-51.1,1,0.2727272727272727
-19.1,-51.1,2,0.3636363636363636
-19.1,-51.1,3,0.4545454545454545
-19.1,-51.1,4,0.0909090909090909
-19.1,-51.1,5,0.0909090909090909
-19.1,-51.1,6,0.2727272727272727
-19.1,-51.1,7,0.0909090909090909
-19.1,-51.1,8,0.1818181818181818
-19.1,-51.1,9,0.9090909090909092
-19.1,-51.1,10,0.5454545454545454
-19.1,-51.1,11,0.4545454545454545
-19.1,-51.1,12,0.2727272727272727
-19.1,-51.0,1,1.181818181818182
-19.1,-51.0,2,0.9090909090909092
-19.1,-51.0,3,0.7272727272727273
-19.1,-51.0,4,0.1818181818181818
-19.1,-51.0,6,0.1818181818181818
-19.1,-51.0,7,0.0909090909090909
-19.1,-51.0,8,0.4545454545454545
-19.1,-51.0,9,0.6363636363636364
-19.1,-51.0,10,1.2727272727272727
-19.1,-51.0,11,0.8181818181818182
-19.1,-51.0,12,0.7272727272727273
-19.1,-50.9,1,0.5454545454545454
-19.1,-50.9,2,0.1818181818181818
-19.1,-50.9,3,0.1818181818181818
-19.1,-50.9,4,0.1818181818181818
-19.1,-50.9,5,0.1818181818181818
-19.1,-50.9,6,0.1818181818181818
-19.1,-50.9,7,0.2727272727272727
-19.1,-50.9,8,0.0909090909090909
-19.1,-50.9,9,0.6363636363636364
-19.1,-50.9,10,1.2727272727272727
-19.1,-50.9,11,1.0909090909090908
-19.1,-50.9,12,0.6363636363636364
-19.1,-50.8,1,0.5454545454545454
-19.1,-50.8,2,0.1818181818181818
-19.1,-50.8,3,0.5454545454545454
-19.1,-50.8,4,0.0909090909090909
-19.1,-50.8,5,0.1818181818181818
-19.1,-50.8,6,0.2727272727272727
-19.1,-50.8,7,0.0909090909090909
-19.1,-50.8,8,0.0909090909090909
-19.1,-50.8,9,0.2727272727272727
-19.1,-50.8,10,0.2727272727272727
-19.1,-50.8,11,0.1818181818181818
-19.1,-50.8,12,0.4545454545454545
-19.0,-52.0,1,0.0909090909090909
-19.0,-52.0,3,0.1818181818181818
-19.0,-52.0,7,0.0909090909090909
-19.0,-52.0,8,0.0909090909090909
-19.0,-52.0,9,0.0909090909090909
-19.0,-52.0,10,0.0909090909090909
-19.0,-52.0,11,0.0909090909090909
-19.0,-51.9,1,0.1818181818181818
-19.0,-51.9,2,0.0909090909090909
-19.0,-51.9,5,0.0909090909090909
-19.0,-51.9,6,0.0909090909090909
-19.0,-51.9,7,0.3636363636363636
-19.0,-51.9,9,0.4545454545454545
-19.0,-51.9,10,0.7272727272727273
-19.0,-51.9,11,0.1818181818181818
-19.0,-51.9,12,0.1818181818181818
-19.0,-51.8,1,0.1818181818181818
-19.0,-51.8,4,0.1818181818181818
-19.0,-51.8,5,0.0909090909090909
-19.0,-51.8,6,0.1818181818181818
-19.0,-51.8,9,0.0909090909090909
-19.0,-51.8,11,0.0909090909090909
-19.0,-51.7,1,0.1818181818181818
-19.0,-51.7,2,0.0909090909090909
-19.0,-51.7,3,0.1818181818181818
-19.0,-51.7,10,0.0909090909090909
-19.0,-51.7,11,0.1818181818181818
-19.0,-51.7,12,0.0909090909090909
-19.0,-51.6,1,0.2727272727272727
-19.0,-51.6,2,0.1818181818181818
-19.0,-51.6,4,0.1818181818181818
-19.0,-51.6,6,0.0909090909090909
-19.0,-51.6,9,0.1818181818181818
-19.0,-51.6,10,0.3636363636363636
-19.0,-51.6,11,0.1818181818181818
-19.0,-51.6,12,0.1818181818181818
-19.0,-51.5,1,0.3636363636363636
-19.0,-51.5,2,0.2727272727272727
-19.0,-51.5,3,0.0909090909090909
-19.0,-51.5,4,0.0909090909090909
-19.0,-51.5,5,0.3636363636363636
-19.0,-51.5,7,0.5454545454545454
-19.0,-51.5,8,0.3636363636363636
-19.0,-51.5,9,0.8181818181818182
-19.0,-51.5,10,0.4545454545454545
-19.0,-51.5,11,1.0
-19.0,-51.5,12,0.6363636363636364
-19.0,-51.4,1,0.7272727272727273
-19.0,-51.4,2,0.2727272727272727
-19.0,-51.4,3,0.0909090909090909
-19.0,-51.4,4,0.2727272727272727
-19.0,-51.4,5,0.3636363636363636
-19.0,-51.4,6,0.1818181818181818
-19.0,-51.4,7,0.7272727272727273
-19.0,-51.4,8,1.0909090909090908
-19.0,-51.4,9,0.4545454545454545
-19.0,-51.4,10,0.2727272727272727
-19.0,-51.4,11,1.6363636363636365
-19.0,-51.4,12,0.6363636363636364
-19.0,-51.3,1,0.3636363636363636
-19.0,-51.3,2,0.4545454545454545
-19.0,-51.3,3,0.0909090909090909
-19.0,-51.3,5,0.0909090909090909
-19.0,-51.3,6,0.0909090909090909
-19.0,-51.3,8,0.0909090909090909
-19.0,-51.3,9,0.0909090909090909
-19.0,-51.3,10,0.1818181818181818
-19.0,-51.3,11,0.2727272727272727
-19.0,-51.3,12,0.1818181818181818
-19.0,-51.2,1,0.2727272727272727
-19.0,-51.2,2,0.0909090909090909
-19.0,-51.2,4,0.0909090909090909
-19.0,-51.2,5,0.0909090909090909
-19.0,-51.2,6,0.3636363636363636
-19.0,-51.2,7,0.2727272727272727
-19.0,-51.2,8,0.0909090909090909
-19.0,-51.2,9,0.1818181818181818
-19.0,-51.2,10,0.6363636363636364
-19.0,-51.2,11,0.4545454545454545
-19.0,-51.2,12,0.3636363636363636
-19.0,-51.1,1,0.9090909090909092
-19.0,-51.1,2,1.2727272727272727
-19.0,-51.1,3,0.6363636363636364
-19.0,-51.1,4,0.2727272727272727
-19.0,-51.1,5,0.0909090909090909
-19.0,-51.1,6,0.1818181818181818
-19.0,-51.1,7,0.1818181818181818
-19.0,-51.1,8,0.6363636363636364
-19.0,-51.1,9,1.181818181818182
-19.0,-51.1,10,0.4545454545454545
-19.0,-51.1,11,0.3636363636363636
-19.0,-51.1,12,0.3636363636363636
-19.0,-51.0,1,0.7272727272727273
-19.0,-51.0,2,1.2727272727272727
-19.0,-51.0,3,0.8181818181818182
-19.0,-51.0,4,0.4545454545454545
-19.0,-51.0,6,0.2727272727272727
-19.0,-51.0,7,1.0
-19.0,-51.0,8,0.3636363636363636
-19.0,-51.0,9,1.0
-19.0,-51.0,10,1.0909090909090908
-19.0,-51.0,11,0.4545454545454545
-19.0,-51.0,12,0.4545454545454545
-19.0,-50.9,1,0.0909090909090909
-19.0,-50.9,2,0.2727272727272727
-19.0,-50.9,3,0.3636363636363636
-19.0,-50.9,4,0.2727272727272727
-19.0,-50.9,5,0.1818181818181818
-19.0,-50.9,6,0.0909090909090909
-19.0,-50.9,7,0.2727272727272727
-19.0,-50.9,8,0.1818181818181818
-19.0,-50.9,9,1.0
-19.0,-50.9,10,1.0
-19.0,-50.9,11,0.0909090909090909
-19.0,-50.9,12,0.0909090909090909
-19.0,-50.8,1,0.2727272727272727
-19.0,-50.8,2,0.2727272727272727
-19.0,-50.8,3,0.3636363636363636
-19.0,-50.8,9,0.4545454545454545
-19.0,-50.8,10,0.0909090909090909
-19.0,-50.8,11,0.0909090909090909
-19.0,-50.8,12,0.3636363636363636
-18.9,-52.1,1,0.0909090909090909
-18.9,-52.1,2,0.0909090909090909
-18.9,-52.1,3,0.1818181818181818
-18.9,-52.1,4,0.5454545454545454
-18.9,-52.1,6,0.0909090909090909
-18.9,-52.1,7,0.0909090909090909
-18.9,-52.1,9,0.2727272727272727
-18.9,-52.1,10,0.0909090909090909
-18.9,-52.1,11,0.3636363636363636
-18.9,-52.1,12,0.2727272727272727
-18.9,-52.0,3,0.1818181818181818
-18.9,-52.0,4,0.1818181818181818
-18.9,-52.0,5,0.3636363636363636
-18.9,-52.0,7,0.0909090909090909
-18.9,-52.0,8,0.2727272727272727
-18.9,-52.0,9,0.3636363636363636
-18.9,-52.0,10,0.0909090909090909
-18.9,-52.0,11,0.1818181818181818
-18.9,-52.0,12,0.0909090909090909
-18.9,-51.9,1,0.4545454545454545
-18.9,-51.9,2,0.0909090909090909
-18.9,-51.9,3,0.3636363636363636
